Product_URL,Product_Name, Product_Price ,Rating,Number_of_reviews,Description,ASIN,Product Description,Manufacturer
https://amzn.eu/d/bFKecSK,Lavie Sport," ? 1,049 ",4,"`1,183",N/A,B097RJ22Q3,This unisex stylish travel Bag is made of premium nylon fabric which is the most durable material. It is water and scratch resistant. It has a full lining made of polyester for additional strength and protection for your valuables.,Bagzone Lifestyle Pvt Ltd
https://amzn.eu/d/cgtcTZX,uppercase ," ? 1,200 ",4.3,11,N/A,B0B9T4YDPX,N/A,Acefour Accessories Pvt. Ltd
https://amzn.eu/d/hI863d3,KILLER ," ? 2,067 ",4.4,"3,102",N/A,B07CDD6YS2,"Stylish and Durable Spacious Laptop Backpack for Travel Killer LOUIS 15.6 inch laptop backpack is made of High grade water resistance PU coated polyester material that gives it strength and makes it durable for long-term use. It features 3 large well padded zippered compartments and One large easy access front pocket. Well padded laptop section fits upto 15.6 inch laptop, middle compartment is big enough to hold your office or weekend trip cloths or daily use belongings, front compartment with organizer section is to keep all official documents and small electronic gadgets, you can use it to store the charger, mouse, pen drive, notepad, pen and other essentials it also has one front zippered pockets for easy access items,. Killer LOUIS backpack features two mesh side pockets, where you can keep your water bottle or any other item for an quick access. Waterproof large Laptop Backpack Bag. Killer LOUIS laptop backpack is perfect laptop bag for you, its cushioned laptop pocket keep your laptop securely tight and protected while you are on the move. This laptop bag pack suits your style & is very comfortable to carry, its ergonomics and makes you forget the load you are carrying, well-padded shoulder straps ease the carrying Outer Fabric: Durable PU coated Linen Polyester Fabric. Compartments & Pockets: 3 main compartment, One front Pocket, Two side mesh pockets. Compatible laptop Size: Upto 15.6 inches. Weight: 800gm; Dimensions: 13.00x18.75x9.50 inches (WxHxD).",Ambrosia Bags
https://amzn.eu/d/5Ns5yQB,WALKENT ," ? 3,990 ",0,0,N/A,B0C7KPGC2Y,"WALKENT Waterproof Laptop Bag for Men with Side Bottle Pockets, Cushioned Straps & More P1",Walkent OEM
https://amzn.eu/d/93wsoBq,ZEBRONICS , ? 499 ,0,0,N/A,B0C6QNNPMM,N/A,Zebronics India Private Limited
https://amzn.eu/d/55f3wlV,NIVIA , ? 269 ,4,391,N/A,B07FWQ9HRV,N/A,Freewill Sports Private Limited
https://amzn.eu/d/eiTF0bT,FATMUG," ? 1,599 ",4.4,417,N/A,B084LF4RT5,FATMUG,Fatmug Designs
https://amzn.eu/d/5833ypN,Northzone, ? 415 ,4,23,N/A,B0BL3TVDK6,"NORTHZONE BACKPACK If you carry your laptop to and from work, then this laptop bag from Northzone will definitely make travelling easier. Compatibility This backpack can fit a 38.1 cm laptop comfortably. Compartments This bag has three spacious compartments to store the laptop, charger, external devices, and other accessories with ease. Pockets The two mesh pockets on either sides of this black and blue backpack allow you to store a water bottle, ID card and other knick-knacks, so you can access them easily",Northzone
https://amzn.eu/d/6xgkcmk,KBBRD, ? 512 ,4,"1,155",N/A,B09321GJXZ,N/A,Texcoco Enterprices
https://amzn.eu/d/cPNuVPq,FUR JADEN, ? 849 ,4.3,728,N/A,B07YDGQQN5,FUR JADEN ENDURING & LONG-LASTING TRAVEL BACKPACK,Fur Jaden
https://amzn.eu/d/798D22Z,Wildcraft," ? 1,374 ",4.4,308,N/A,B07FC4D9B5,N/A,Wildcraft
https://amzn.eu/d/0PExGKG,Lavie Sport," ? 1,049 ",4,"1,184",N/A,B097RJ22Q3,This unisex stylish travel Bag is made of premium nylon fabric which is the most durable material. It is water and scratch resistant. It has a full lining made of polyester for additional strength and protection for your valuables.,Bagzone Lifestyle Pvt Ltd
https://amzn.eu/d/eivuUB9,Zipline , ? 843 ,4,619,N/A,B07XVMR33Q,ZIPLINE STYLE LIKE NEVER BEFORE PERFECT TO MAKE A FASHION STATEMENT,Atulitu Agency
https://amzn.eu/d/3khNaNL,LOOKMUSTER , ? 439 ,4,6,N/A,B0BZW8KW18,"BEST LAPTOP LOOKMUSTER WITH SLIM,SLEEK AND COMPACT DESIGN YOU WILL LOVE HOW THIS BACKSPACE CAN LOOK SMALL EVEN WITH A SPACIOUS STORAGE",LOOKMUSTER
